0.004906 0.004906 0.004815 0.004688 0.004534 0.004376 0.004225 0.004093 0.003988 0.003914 0.003878 0.003883 0.003933 0.004031 0.004181 0.004385 0.004646 0.004967 0.005350 0.005793 0.006296 0.006854 0.007459 0.008099 0.008761 0.009425 0.010070 0.010673 0.011210 0.011662 0.012013 0.012253 0.012380 0.012399 0.012323 0.012172 0.011972 0.011752 0.011557 0.011402 0.011402 
0.004906 0.004906 0.004815 0.004688 0.004534 0.004376 0.004225 0.004093 0.003988 0.003914 0.003878 0.003883 0.003933 0.004031 0.004181 0.004385 0.004646 0.004967 0.005350 0.005793 0.006296 0.006854 0.007459 0.008099 0.008761 0.009425 0.010070 0.010673 0.011210 0.011662 0.012013 0.012253 0.012380 0.012399 0.012323 0.012172 0.011972 0.011752 0.011557 0.011402 0.011402 
0.004996 0.004996 0.004904 0.004800 0.004676 0.004551 0.004433 0.004330 0.004250 0.004198 0.004177 0.004192 0.004247 0.004345 0.004488 0.004680 0.004924 0.005220 0.005570 0.005975 0.006431 0.006936 0.007482 0.008059 0.008654 0.009252 0.009833 0.010378 0.010867 0.011281 0.011608 0.011840 0.011974 0.012015 0.011976 0.011871 0.011723 0.011553 0.011398 0.011245 0.011245 
0.005124 0.005124 0.005007 0.004902 0.004783 0.004668 0.004562 0.004471 0.004402 0.004358 0.004343 0.004362 0.004416 0.004510 0.004645 0.004826 0.005054 0.005332 0.005661 0.006040 0.006470 0.006946 0.007462 0.008010 0.008578 0.009150 0.009709 0.010234 0.010707 0.011110 0.011429 0.011656 0.011789 0.011834 0.011800 0.011704 0.011565 0.011398 0.011240 0.011050 0.011050 
0.005279 0.005279 0.005129 0.005017 0.004897 0.004787 0.004689 0.004607 0.004545 0.004507 0.004496 0.004515 0.004566 0.004653 0.004779 0.004946 0.005157 0.005414 0.005720 0.006075 0.006479 0.006929 0.007420 0.007946 0.008494 0.009050 0.009596 0.010112 0.010578 0.010975 0.011289 0.011511 0.011641 0.011683 0.011648 0.011550 0.011408 0.011232 0.011060 0.010823 0.010823 
0.005438 0.005438 0.005249 0.005125 0.004997 0.004885 0.004788 0.004709 0.004650 0.004613 0.004601 0.004617 0.004662 0.004740 0.004854 0.005007 0.005201 0.005439 0.005725 0.006060 0.006444 0.006876 0.007353 0.007868 0.008411 0.008967 0.009517 0.010039 0.010512 0.010913 0.011228 0.011448 0.011570 0.011602 0.011554 0.011442 0.011283 0.011084 0.010888 0.010596 0.010596 
0.005586 0.005586 0.005358 0.005218 0.005078 0.004961 0.004861 0.004780 0.004720 0.004681 0.004665 0.004675 0.004712 0.004779 0.004880 0.005017 0.005194 0.005415 0.005683 0.006000 0.006369 0.006790 0.007261 0.007775 0.008325 0.008893 0.009460 0.010002 0.010493 0.010908 0.011229 0.011446 0.011559 0.011575 0.011507 0.011370 0.011185 0.010956 0.010729 0.010383 0.010383 
0.005710 0.005710 0.005442 0.005285 0.005130 0.005004 0.004898 0.004813 0.004748 0.004704 0.004682 0.004683 0.004711 0.004766 0.004853 0.004974 0.005135 0.005339 0.005591 0.005894 0.006253 0.006668 0.007140 0.007665 0.008232 0.008826 0.009425 0.010000 0.010521 0.010959 0.011292 0.011508 0.011609 0.011603 0.011507 0.011339 0.011120 0.010854 0.010593 0.010194 0.010194 
0.005797 0.005797 0.005491 0.005316 0.005146 0.005009 0.004894 0.004802 0.004730 0.004679 0.004648 0.004640 0.004655 0.004698 0.004770 0.004877 0.005022 0.005210 0.005448 0.005740 0.006093 0.006508 0.006989 0.007532 0.008128 0.008761 0.009405 0.010028 0.010593 0.011064 0.011414 0.011632 0.011718 0.011685 0.011555 0.011349 0.011090 0.010782 0.010483 0.010032 0.010032 
0.005838 0.005838 0.005495 0.005303 0.005116 0.004967 0.004842 0.004740 0.004659 0.004599 0.004558 0.004539 0.004542 0.004571 0.004629 0.004720 0.004850 0.005025 0.005251 0.005536 0.005885 0.006306 0.006801 0.007370 0.008005 0.008690 0.009394 0.010081 0.010704 0.011220 0.011596 0.011817 0.011886 0.011823 0.011652 0.011400 0.011095 0.010741 0.010402 0.009899 0.009899 
